"","arrayId","source","sampleName","arrayType","tumorType","location","conversion"
"251","9769100027_R05C01","Jakel","N4N","Illumina_450K","normal","pancreas",1.06264177373512
"252","9769100029_R05C01","Jakel","N3N","Illumina_450K","normal","pancreas",1.04867735097907
"253","9769100029_R02C02","Jakel","N6N","Illumina_450K","normal","pancreas",1.16168346119569
"254","9769100039_R03C01","Jakel","N2N","Illumina_450K","normal","pancreas",1.08134959211298
"255","9769100039_R04C01","Jakel","N5N","Illumina_450K","normal","pancreas",1.04057772028953
"256","9769100027_R06C02","Jakel","11T","Illumina_450K","ACC","primary",1.03782009671178
"257","9769100027_R04C01","Jakel","13T","Illumina_450K","ACC","primary",1.23386140741831
"258","9769100027_R05C02","Jakel","15T","Illumina_450K","ACC","primary",1.08228068725583
"259","9769100027_R02C01","Jakel","16T","Illumina_450K","ACC","primary",1.19177888412625
"260","9769100027_R01C02","Jakel","19T","Illumina_450K","ACC","primary",1.23560705357196
"261","9769100027_R06C01","Jakel","4T","Illumina_450K","ACC","primary",1.19547067733166
"262","9769100027_R03C01","Jakel","5T","Illumina_450K","ACC","primary",1.15085077412349
"263","9769100029_R03C01","Jakel","12T","Illumina_450K","ACC","primary",1.23582858295511
"264","9769100029_R04C02","Jakel","17T","Illumina_450K","ACC","primary",1.17705321903618
"265","9769100029_R01C01","Jakel","3T","Illumina_450K","ACC","primary",1.13273165298524
"266","9769100029_R02C01","Jakel","6T","Illumina_450K","ACC","primary",1.09538135220123
"267","9769100029_R04C01","Jakel","7T","Illumina_450K","ACC","primary",1.00087358563491
"268","9769100039_R06C01","Jakel","10T","Illumina_450K","ACC","primary",1.16544111390729
"269","9769100039_R06C02","Jakel","14T","Illumina_450K","ACC","primary",1.28522190880798
"270","9769100039_R01C01","Jakel","18T","Illumina_450K","ACC","primary",1.26281233994625
"271","9769100039_R04C02","Jakel","1T","Illumina_450K","ACC","primary",1.17748524634647
"272","9769100039_R02C02","Jakel","8T","Illumina_450K","ACC","primary",1.11717377412002
"273","9769100039_R02C01","Jakel","9T","Illumina_450K","ACC","primary",1.03373034056126
"274","200325530168_R02C02","Jakel","ACC K13 T","Illumina_450K","ACC","primary",1.15240358161912
"275","200325530168_R06C02","Jakel","ACC K18 T","Illumina_450K","ACC","primary",1.10526056848257
"276","200325530168_R06C01","Jakel","ACC K2 T","Illumina_450K","ACC","primary",1.0621585803313
"277","200325530168_R05C02","Jakel","ACC K4 T","Illumina_450K","ACC","primary",1.32151634291423
"278","200325530168_R03C02","Jakel","ACC K5 T","Illumina_450K","ACC","primary",1.0097876611578
"279","200325530168_R04C01","Jakel","ACC K9 T","Illumina_450K","ACC","primary",1.09613115314764
"280","200360420003_R04C01","Jakel","ACC K10 T","Illumina_450K","ACC","primary",1.20067932161339
"281","200360420003_R02C02","Jakel","ACC K14 T","Illumina_450K","ACC","primary",0.993464558363729
"282","200360420003_R04C02","Jakel","ACC K6 T","Illumina_450K","ACC","primary",1.14119120249466
"283","200360420003_R06C02","Jakel","ACC K7 T","Illumina_450K","ACC","primary",1.16509486394691
"284","200360420003_R06C01","Jakel","ACC K8 T","Illumina_450K","ACC","primary",1.16945987655978
"285","200360420007_R02C01","Jakel","ACC K1 T","Illumina_450K","ACC","primary",1.21075671457884
"286","200360420007_R04C01","Jakel","ACC K11 T","Illumina_450K","ACC","primary",1.17303250609004
"287","200360420007_R03C02","Jakel","ACC K19 T","Illumina_450K","ACC","primary",1.17474864955449
"288","200360420007_R01C02","Jakel","ACC K3 T","Illumina_450K","ACC","primary",1.15213423779148
"289","200360420008_R03C01","Jakel","ACC K12 T","Illumina_450K","ACC","primary",1.21469631520415
"290","200360420008_R06C01","Jakel","ACC K15 T","Illumina_450K","ACC","primary",1.1878003360966
"291","200360420008_R05C01","Jakel","ACC K16 T","Illumina_450K","ACC","primary",0.875560227331309
"292","200360420008_R01C01","Jakel","ACC K20 T","Illumina_450K","ACC","primary",1.04697305426763
"293","9855358054_R01C01","Jakel","20T","Illumina_450K","MACNEC","primary",1.30775312783586
"294","9855358054_R02C01","Jakel","21T","Illumina_450K","MACNEC","primary",1.23366021583722
"295","9855358054_R04C01","Jakel","22T","Illumina_450K","MACNEC","primary",1.23916221250024
